EBn,ALL,CHINA,INDIA,MEXICO,PHILIPPINES,state,date,CENTRALAMERICA,VIETNAM
1st,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
2nd,2018-7-1,2015-4-01,2009-5-22,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
3rd,2018-7-1,2016-1-01,2009-5-01,2018-7-1,2017-7-01,filing,2018-7-1,2018-7-1,
Other Workers,2018-7-1,2008-6-01,2009-5-01,2018-7-1,2017-7-01,filing,2018-7-1,2018-7-1,
4th,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2016-5-01,
Religious Workers,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2016-5-01,
5th non-regional,2018-7-1,2014-10-01,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
5th regional,2018-7-1,2014-10-01,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
1st,2016-5-01,2012-1-01,2012-1-01,2016-5-01,2016-5-01,final,2018-8-1,2016-5-01,2016-5-01
2nd,2018-8-1,2015-3-01,2009-3-15,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2018-8-1
3rd,2018-8-1,2014-7-01,2009-1-01,2018-8-1,2017-6-01,final,2018-8-1,2018-8-1,2018-8-1
Other Workers,2018-8-1,2007-5-01,2009-1-01,2018-8-1,2017-6-01,final,2018-8-1,2018-8-1,2018-8-1
4th,2018-8-1,2018-8-1,2016-2-08,2016-2-08,2018-8-1,final,2018-8-1,2016-2-08,2018-8-1
Religious Workers,2018-8-1,2018-8-1,2016-2-08,2016-2-08,2018-8-1,final,2018-8-1,2016-2-08,2018-8-1
5th non-regional,2018-8-1,2014-8-01,2018-8-1,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2014-8-01
5th regional,2018-8-1,2014-8-01,2018-8-1,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2014-8-01
1st,2018-8-1,2018-8-1,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
2nd,2018-8-1,2015-4-01,2009-5-22,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
3rd,2018-8-1,2016-1-01,2009-5-01,2018-8-1,2017-7-01,filing,2018-8-1,2018-8-1,
Other Workers,2018-8-1,2008-6-01,2009-5-01,2018-8-1,2017-7-01,filing,2018-8-1,2018-8-1,
4th,2018-8-1,2018-8-1,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2016-5-01,
Religious Workers,2018-8-1,2018-8-1,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2016-5-01,
5th non-regional,2018-8-1,2014-10-01,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
5th regional,2018-8-1,2014-10-01,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
1st,2016-6-01,2012-1-01,2012-1-01,2016-6-01,2016-6-01,final,2018-9-1,2016-6-01,2016-6-01
2nd,2013-1-01,2013-1-01,2007-1-01,2013-1-01,2013-1-01,final,2018-9-1,2013-1-01,2013-1-01
3rd,2016-11-01,2014-11-01,2003-1-01,2016-11-01,2016-11-01,final,2018-9-1,2016-11-01,2016-11-01
Other Workers,2016-11-01,2007-5-01,2003-1-01,2016-11-01,2016-11-01,final,2018-9-1,2016-11-01,2016-11-01
4th,2018-9-1,2018-9-1,2016-2-15,2016-2-15,2018-9-1,final,2018-9-1,2016-2-15,2018-9-1
Religious Workers,2018-9-1,2018-9-1,2016-2-15,2016-2-15,2018-9-1,final,2018-9-1,2016-2-15,2018-9-1
5th non-regional,2018-9-1,2014-8-08,2018-9-1,2018-9-1,2018-9-1,final,2018-9-1,2018-9-1,2014-8-08
5th regional,2018-9-1,2014-8-08,2018-9-1,2018-9-1,2018-9-1,final,2018-9-1,2018-9-1,2014-8-08
1st,2018-9-1,2018-9-1,2018-9-1,2018-9-1,2018-9-1,filing,2018-9-1,2018-9-1,
2nd,2018-9-1,2015-4-01,2009-5-22,2018-9-1,2018-9-1,filing,2018-9-1,2018-9-1,
3rd,2018-9-1,2016-1-01,2009-5-01,2018-9-1,2017-7-01,filing,2018-9-1,2018-9-1,
Other Workers,2018-9-1,2008-6-01,2009-5-01,2018-9-1,2017-7-01,filing,2018-9-1,2018-9-1,
4th,2018-9-1,2018-9-1,2018-9-1,2018-9-1,2018-9-1,filing,2018-9-1,2016-5-01,
Religious Workers,2018-9-1,2018-9-1,2018-9-1,2018-9-1,2018-9-1,filing,2018-9-1,2016-5-01,
5th non-regional,2018-9-1,2014-10-01,2018-9-1,2018-9-1,2018-9-1,filing,2018-9-1,2018-9-1,
5th regional,2018-9-1,2014-10-01,2018-9-1,2018-9-1,2018-9-1,filing,2018-9-1,2018-9-1,
1st,2017-4-01,2016-6-01,2016-6-01,2017-4-01,2017-4-01,final,2018-10-1,2017-4-01,2017-4-01
2nd,2018-10-1,2015-4-01,2009-3-26,2018-10-1,2018-10-1,final,2018-10-1,2018-10-1,2018-10-1
3rd,2018-10-1,2015-6-01,2009-1-01,2018-10-1,2017-6-01,final,2018-10-1,2018-10-1,2018-10-1
Other Workers,2018-10-1,2007-5-01,2009-1-01,2018-10-1,2017-6-01,final,2018-10-1,2018-10-1,2018-10-1
4th,2018-10-1,2018-10-1,2018-10-1,2016-10-22,2018-10-1,final,2018-10-1,2016-2-15,2018-10-1
Religious Workers,,,,,,final,2018-10-1,,
5th non-regional,2018-10-1,2014-8-15,2018-10-1,2018-10-1,2018-10-1,final,2018-10-1,2018-10-1,2016-1-01
5th regional,,,,,,final,2018-10-1,,
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2018-10-1,2018-6-01,
2nd,2018-10-1,2015-6-15,2009-5-22,2018-10-1,2018-10-1,filing,2018-10-1,2018-10-1,
3rd,2018-10-1,2015-8-08,2009-10-01,2018-10-1,2017-7-01,filing,2018-10-1,2018-10-1,
Other Workers,2018-10-1,2008-6-01,2009-10-01,2018-10-1,2017-7-01,filing,2018-10-1,2018-10-1,
4th,2018-10-1,2018-10-1,2018-10-1,2018-10-1,2018-10-1,filing,2018-10-1,2016-5-01,
Religious Workers,2018-10-1,2018-10-1,2018-10-1,2018-10-1,2018-10-1,filing,2018-10-1,2016-5-01,
5th non-regional,2018-10-1,2014-10-01,2018-10-1,2018-10-1,2018-10-1,filing,2018-10-1,2018-10-1,
5th regional,2018-10-1,2014-10-01,2018-10-1,2018-10-1,2018-10-1,filing,2018-10-1,2018-10-1,
1st,2017-4-01,2016-6-01,2016-6-01,2017-4-01,2017-4-01,final,2018-11-1,2017-4-01,2017-4-01
2nd,2018-11-1,2015-5-15,2009-3-26,2018-11-1,2018-11-1,final,2018-11-1,2018-11-1,2018-11-1
3rd,2018-11-1,2015-6-01,2009-1-01,2018-11-1,2017-6-08,final,2018-11-1,2018-11-1,2018-11-1
Other Workers,2018-11-1,2007-5-01,2009-1-01,2018-11-1,2017-6-08,final,2018-11-1,2018-11-1,2018-11-1
4th,2018-11-1,2018-11-1,2018-11-1,2016-11-22,2018-11-1,final,2018-11-1,2016-2-15,2018-11-1
Religious Workers,2018-11-1,2018-11-1,2018-11-1,2016-11-22,2018-11-1,final,2018-11-1,2016-2-15,2018-11-1
5th non-regional,2018-11-1,2014-8-15,2018-11-1,2018-11-1,2018-11-1,final,2018-11-1,2018-11-1,2016-2-01
5th regional,2018-11-1,2014-8-15,2018-11-1,2018-11-1,2018-11-1,final,2018-11-1,2018-11-1,2016-2-01
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2018-11-1,2018-6-01,
2nd,2018-11-1,2015-6-15,2009-5-22,2018-11-1,2018-11-1,filing,2018-11-1,2018-11-1,
3rd,2018-11-1,2015-8-08,2009-10-01,2018-11-1,2017-7-01,filing,2018-11-1,2018-11-1,
Other Workers,2018-11-1,2008-6-01,2009-10-01,2018-11-1,2017-7-01,filing,2018-11-1,2018-11-1,
4th,2018-11-1,2018-11-1,2018-11-1,2018-11-1,2018-11-1,filing,2018-11-1,2016-5-01,
Religious Workers,2018-11-1,2018-11-1,2018-11-1,2018-11-1,2018-11-1,filing,2018-11-1,2016-5-01,
5th non-regional,2018-11-1,2014-10-01,2018-11-1,2018-11-1,2018-11-1,filing,2018-11-1,2018-11-1,
5th regional,2018-11-1,2014-10-01,2018-11-1,2018-11-1,2018-11-1,filing,2018-11-1,2018-11-1,
1st,2017-7-01,2016-9-01,2016-9-01,2017-7-01,2017-7-01,final,2018-12-1,2017-7-01,2017-7-01
2nd,2018-12-1,2015-7-01,2009-4-01,2018-12-1,2018-12-1,final,2018-12-1,2018-12-1,2018-12-1
3rd,2018-12-1,2015-6-08,2009-3-01,2018-12-1,2017-6-15,final,2018-12-1,2018-12-1,2018-12-1
Other Workers,2018-12-1,2007-6-01,2009-3-01,2018-12-1,2017-6-15,final,2018-12-1,2018-12-1,2018-12-1
4th,2018-12-1,2018-12-1,2018-12-1,2017-1-01,2018-12-1,final,2018-12-1,2016-2-22,2018-12-1
Religious Workers,2018-12-1,2018-12-1,2018-12-1,2017-1-01,2018-12-1,final,2018-12-1,2016-2-22,2018-12-1
5th non-regional,2018-12-1,2014-8-22,2018-12-1,2018-12-1,2018-12-1,final,2018-12-1,2018-12-1,2016-5-01
5th regional,2018-12-1,2014-8-22,2018-12-1,2018-12-1,2018-12-1,final,2018-12-1,2018-12-1,2016-5-01
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2018-12-1,2018-6-01,
2nd,2018-12-1,2015-9-08,2009-5-22,2018-12-1,2018-12-1,filing,2018-12-1,2018-12-1,
3rd,2018-12-1,2015-12-01,2010-1-01,2018-12-1,2017-8-01,filing,2018-12-1,2018-12-1,
Other Workers,2018-12-1,2008-6-01,2010-1-01,2018-12-1,2017-8-01,filing,2018-12-1,2018-12-1,
4th,2018-12-1,2018-12-1,2018-12-1,2018-12-1,2018-12-1,filing,2018-12-1,2016-5-01,
Religious Workers,2018-12-1,2018-12-1,2018-12-1,2018-12-1,2018-12-1,filing,2018-12-1,2016-5-01,
5th non-regional,2018-12-1,2014-10-01,2018-12-1,2018-12-1,2018-12-1,filing,2018-12-1,2018-12-1,
5th regional,2018-12-1,2014-10-01,2018-12-1,2018-12-1,2018-12-1,filing,2018-12-1,2018-12-1,
1st,2017-10-01,2016-12-15,2016-12-15,2017-10-01,2017-10-01,final,2019-1-1,2017-10-01,2017-10-01
2nd,2019-1-1,2015-8-01,2009-4-01,2019-1-1,2019-1-1,final,2019-1-1,2019-1-1,2019-1-1
3rd,2019-1-1,2015-6-08,2009-3-01,2019-1-1,2017-6-22,final,2019-1-1,2019-1-1,2019-1-1
Other Workers,2019-1-1,2007-7-01,2009-3-01,2019-1-1,2017-6-22,final,2019-1-1,2019-1-1,2019-1-1
4th,2019-1-1,2019-1-1,2019-1-1,2017-4-15,2019-1-1,final,2019-1-1,2016-2-22,2019-1-1
Religious Workers,,,,,,final,2019-1-1,,
5th non-regional,2019-1-1,2014-9-01,2019-1-1,2019-1-1,2019-1-1,final,2019-1-1,2019-1-1,2016-6-01
5th regional,,,,,,final,2019-1-1,,
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2019-1-1,2018-6-01,
2nd,2019-1-1,2015-9-08,2009-5-22,2019-1-1,2019-1-1,filing,2019-1-1,2019-1-1,
3rd,2019-1-1,2016-1-01,2010-4-01,2019-1-1,2017-8-01,filing,2019-1-1,2019-1-1,
Other Workers,2019-1-1,2008-6-01,2010-4-01,2019-1-1,2017-8-01,filing,2019-1-1,2019-1-1,
4th,2019-1-1,2019-1-1,2019-1-1,2019-1-1,2019-1-1,filing,2019-1-1,2016-5-01,
Religious Workers,2019-1-1,2019-1-1,2019-1-1,2019-1-1,2019-1-1,filing,2019-1-1,2016-5-01,
5th non-regional,2019-1-1,2014-10-01,2019-1-1,2019-1-1,2019-1-1,filing,2019-1-1,2019-1-1,
5th regional,2019-1-1,2014-10-01,2019-1-1,2019-1-1,2019-1-1,filing,2019-1-1,2019-1-1,
1st,2017-12-01,2017-2-08,2017-2-08,2017-12-01,2017-12-01,final,2019-2-1,2017-12-01,2017-12-01
2nd,2019-2-1,2015-10-01,2009-4-06,2019-2-1,2019-2-1,final,2019-2-1,2019-2-1,2019-2-1
3rd,2019-2-1,2015-7-01,2009-4-22,2019-2-1,2017-8-01,final,2019-2-1,2019-2-1,2019-2-1
Other Workers,2019-2-1,2007-8-01,2009-4-22,2019-2-1,2017-8-01,final,2019-2-1,2019-2-1,2019-2-1
4th,2019-2-1,2019-2-1,2019-2-1,2017-9-01,2019-2-1,final,2019-2-1,2016-3-01,2019-2-1
Religious Workers,,,,,,final,2019-2-1,,
5th non-regional,2019-2-1,2014-9-01,2019-2-1,2019-2-1,2019-2-1,final,2019-2-1,2019-2-1,2016-6-15
5th regional,,,,,,final,2019-2-1,,
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2019-2-1,2018-6-01,
2nd,2019-2-1,2015-11-01,2009-5-22,2019-2-1,2019-2-1,filing,2019-2-1,2019-2-1,
3rd,2019-2-1,2016-1-01,2010-4-01,2019-2-1,2017-10-01,filing,2019-2-1,2019-2-1,
Other Workers,2019-2-1,2008-6-01,2010-4-01,2019-2-1,2017-10-01,filing,2019-2-1,2019-2-1,
4th,2019-2-1,2019-2-1,2019-2-1,2019-2-1,2019-2-1,filing,2019-2-1,2016-5-01,
Religious Workers,2019-2-1,2019-2-1,2019-2-1,2019-2-1,2019-2-1,filing,2019-2-1,2016-5-01,
5th non-regional,2019-2-1,2014-10-01,2019-2-1,2019-2-1,2019-2-1,filing,2019-2-1,2019-2-1,
5th regional,2019-2-1,2014-10-01,2019-2-1,2019-2-1,2019-2-1,filing,2019-2-1,2019-2-1,
1st,2018-1-01,2017-2-22,2017-2-22,2018-1-01,2018-1-01,final,2019-3-1,2018-1-01,2018-1-01
2nd,2019-3-1,2016-1-01,2009-4-09,2019-3-1,2019-3-1,final,2019-3-1,2019-3-1,2019-3-1
3rd,2019-3-1,2015-7-08,2009-5-22,2019-3-1,2017-12-01,final,2019-3-1,2019-3-1,2019-3-1
Other Workers,2019-3-1,2007-8-15,2009-5-22,2019-3-1,2017-12-01,final,2019-3-1,2019-3-1,2019-3-1
4th,2019-3-1,2019-3-1,2019-3-1,2018-1-01,2019-3-1,final,2019-3-1,2016-3-01,2019-3-1
Religious Workers,,,,,,final,2019-3-1,,
5th non-regional,2019-3-1,2014-9-08,2019-3-1,2019-3-1,2019-3-1,final,2019-3-1,2019-3-1,2016-7-15
5th regional,,,,,,final,2019-3-1,,
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2019-3-1,2018-6-01,
2nd,2019-3-1,2016-5-01,2009-5-22,2019-3-1,2019-3-1,filing,2019-3-1,2019-3-1,
3rd,2019-3-1,2016-1-01,2010-4-01,2019-3-1,2018-3-01,filing,2019-3-1,2019-3-1,
Other Workers,2019-3-1,2008-6-01,2010-4-01,2019-3-1,2018-3-01,filing,2019-3-1,2019-3-1,
4th,2019-3-1,2019-3-1,2019-3-1,2019-3-1,2019-3-1,filing,2019-3-1,2016-5-01,
Religious Workers,2019-3-1,2019-3-1,2019-3-1,2019-3-1,2019-3-1,filing,2019-3-1,2016-5-01,
5th non-regional,2019-3-1,2014-10-01,2019-3-1,2019-3-1,2019-3-1,filing,2019-3-1,2019-3-1,
5th regional,2019-3-1,2014-10-01,2019-3-1,2019-3-1,2019-3-1,filing,2019-3-1,2019-3-1,
1st,2018-2-01,2017-2-22,2017-2-22,2018-2-01,2018-2-01,final,2019-4-1,2018-2-01,2018-2-01
2nd,2019-4-1,2016-4-01,2009-4-12,2019-4-1,2019-4-1,final,2019-4-1,2019-4-1,2019-4-1
3rd,2019-4-1,2015-8-01,2009-6-22,2019-4-1,2018-3-01,final,2019-4-1,2019-4-1,2019-4-1
Other Workers,2019-4-1,2007-8-22,2009-6-22,2019-4-1,2018-3-01,final,2019-4-1,2019-4-1,2019-4-1
4th,2019-4-1,2019-4-1,2019-4-1,2018-4-01,2019-4-1,final,2019-4-1,2016-3-08,2019-4-1
Religious Workers,2019-4-1,2019-4-1,2019-4-1,2018-4-01,2019-4-1,final,2019-4-1,2016-3-08,2019-4-1
5th non-regional,2019-4-1,2014-9-15,2019-4-1,2019-4-1,2019-4-1,final,2019-4-1,2019-4-1,2016-8-22
5th regional,2019-4-1,2014-9-15,2019-4-1,2019-4-1,2019-4-1,final,2019-4-1,2019-4-1,2016-8-22
1st,2018-6-01,2017-10-01,2017-10-01,2018-6-01,2018-6-01,filing,2019-4-1,2018-6-01,
2nd,2019-4-1,2016-7-01,2009-6-01,2019-4-1,2019-4-1,filing,2019-4-1,2019-4-1,
3rd,2019-4-1,2016-1-01,2010-4-01,2019-4-1,2018-7-01,filing,2019-4-1,2019-4-1,
Other Workers,2019-4-1,2008-6-01,2010-4-01,2019-4-1,2018-7-01,filing,2019-4-1,2019-4-1,
4th,2019-4-1,2019-4-1,2019-4-1,2019-4-1,2019-4-1,filing,2019-4-1,2016-5-15,
Religious Workers,2019-4-1,2019-4-1,2019-4-1,2019-4-1,2019-4-1,filing,2019-4-1,2016-5-15,
5th non-regional,2019-4-1,2014-10-08,2019-4-1,2019-4-1,2019-4-1,filing,2019-4-1,2019-4-1,
5th regional,2019-4-1,2014-10-08,2019-4-1,2019-4-1,2019-4-1,filing,2019-4-1,2019-4-1,
1st,2018-3-01,2017-2-22,2017-2-22,2018-3-01,2018-3-01,final,2019-5-1,2018-3-01,2018-3-01
2nd,2019-5-1,2016-5-15,2009-4-16,2019-5-1,2019-5-1,final,2019-5-1,2019-5-1,2019-5-1
3rd,2019-5-1,2015-8-22,2009-7-01,2019-5-1,2018-6-01,final,2019-5-1,2019-5-1,2019-5-1
Other Workers,2019-5-1,2007-9-01,2009-7-01,2019-5-1,2018-6-01,final,2019-5-1,2019-5-1,2019-5-1
4th,2019-5-1,2019-5-1,2019-5-1,2018-8-01,2019-5-1,final,2019-5-1,2016-3-08,2019-5-1
Religious Workers,2019-5-1,2019-5-1,2019-5-1,2018-8-01,2019-5-1,final,2019-5-1,2016-3-08,2019-5-1
5th non-regional,2019-5-1,2014-9-22,2019-5-1,2019-5-1,2019-5-1,final,2019-5-1,2019-5-1,2016-9-22
5th regional,2019-5-1,2014-9-22,2019-5-1,2019-5-1,2019-5-1,final,2019-5-1,2019-5-1,2016-9-22
1st,2018-9-01,2017-10-01,2017-10-01,2018-9-01,2018-9-01,filing,2019-5-1,2018-9-01,
2nd,2019-5-1,2016-9-01,2009-6-01,2019-5-1,2019-5-1,filing,2019-5-1,2019-5-1,
3rd,2019-5-1,2016-1-01,2010-4-01,2019-5-1,2018-10-01,filing,2019-5-1,2019-5-1,
Other Workers,2019-5-1,2008-6-01,2010-4-01,2019-5-1,2018-10-01,filing,2019-5-1,2019-5-1,
4th,2019-5-1,2019-5-1,2019-5-1,2019-5-1,2019-5-1,filing,2019-5-1,2016-7-01,
Religious Workers,2019-5-1,2019-5-1,2019-5-1,2019-5-1,2019-5-1,filing,2019-5-1,2016-7-01,
5th non-regional,2019-5-1,2014-10-15,2019-5-1,2019-5-1,2019-5-1,filing,2019-5-1,2019-5-1,
5th regional,2019-5-1,2014-10-15,2019-5-1,2019-5-1,2019-5-1,filing,2019-5-1,2019-5-1,
1st,2018-4-22,2017-2-22,2015-1-01,2018-4-22,2018-4-22,final,2019-6-1,2018-4-22,2018-4-22
2nd,2019-6-1,2016-8-01,2009-4-19,2019-6-1,2019-6-1,final,2019-6-1,2019-6-1,2019-6-1
3rd,2019-6-1,2015-9-15,2009-7-01,2019-6-1,2018-11-01,final,2019-6-1,2019-6-1,2019-6-1
Other Workers,2019-6-1,2007-9-01,2009-7-01,2019-6-1,2018-11-01,final,2019-6-1,2019-6-1,2019-6-1
4th,2019-6-1,2019-6-1,2019-6-1,2018-10-01,2019-6-1,final,2019-6-1,2016-3-22,2019-6-1
Religious Workers,2019-6-1,2019-6-1,2019-6-1,2018-10-01,2019-6-1,final,2019-6-1,2016-3-22,2019-6-1
5th non-regional,2019-6-1,2014-10-01,2019-6-1,2019-6-1,2019-6-1,final,2019-6-1,2019-6-1,2016-10-01
5th regional,2019-6-1,2014-10-01,2019-6-1,2019-6-1,2019-6-1,final,2019-6-1,2019-6-1,2016-10-01
1st,2018-9-01,2017-10-01,2017-10-01,2018-9-01,2018-9-01,filing,2019-6-1,2018-9-01,
2nd,2019-6-1,2016-11-01,2009-6-01,2019-6-1,2019-6-1,filing,2019-6-1,2019-6-1,
3rd,2019-6-1,2016-1-01,2010-4-01,2019-6-1,2019-1-01,filing,2019-6-1,2019-6-1,
Other Workers,2019-6-1,2008-6-01,2010-4-01,2019-6-1,2019-1-01,filing,2019-6-1,2019-6-1,
4th,2019-6-1,2019-6-1,2019-6-1,2019-6-1,2019-6-1,filing,2019-6-1,2016-9-01,
Religious Workers,2019-6-1,2019-6-1,2019-6-1,2019-6-1,2019-6-1,filing,2019-6-1,2016-9-01,
5th non-regional,2019-6-1,2014-11-01,2019-6-1,2019-6-1,2019-6-1,filing,2019-6-1,2019-6-1,
5th regional,2019-6-1,2014-11-01,2019-6-1,2019-6-1,2019-6-1,filing,2019-6-1,2019-6-1,
1st,2018-4-22,2017-5-08,2015-1-01,2018-4-22,2018-4-22,final,2019-7-1,2018-4-22,2018-4-22
2nd,2019-7-1,2016-11-01,2009-4-24,2019-7-1,2019-7-1,final,2019-7-1,2019-7-1,2019-7-1
3rd,2019-7-1,2016-1-01,2009-7-01,2019-7-1,2019-7-1,final,2019-7-1,2019-7-1,2019-7-1
Other Workers,2019-7-1,2007-11-22,2009-7-01,2019-7-1,2019-7-1,final,2019-7-1,2019-7-1,2019-7-1
4th,2019-7-1,2019-7-1,2019-7-1,2016-7-01,2019-7-1,final,2019-7-1,2016-7-01,2019-7-1
Religious Workers,2019-7-1,2019-7-1,2019-7-1,2016-7-01,2019-7-1,final,2019-7-1,2016-7-01,2019-7-1
5th non-regional,2019-7-1,2014-10-01,2017-5-01,2019-7-1,2019-7-1,final,2019-7-1,2019-7-1,2016-10-01
5th regional,2019-7-1,2014-10-01,2017-5-01,2019-7-1,2019-7-1,final,2019-7-1,2019-7-1,2016-10-01
1st,2018-9-01,2017-10-01,2017-10-01,2018-9-01,2018-9-01,filing,2019-7-1,2018-9-01,
2nd,2019-7-1,2017-2-01,2009-6-01,2019-7-1,2019-7-1,filing,2019-7-1,2019-7-1,
3rd,2019-7-1,2016-6-01,2010-4-01,2019-7-1,2019-7-1,filing,2019-7-1,2019-7-1,
Other Workers,2019-7-1,2008-6-01,2010-4-01,2019-7-1,2019-7-1,filing,2019-7-1,2019-7-1,
4th,2019-7-1,2019-7-1,2019-7-1,2019-7-1,2019-7-1,filing,2019-7-1,2016-9-01,
Religious Workers,2019-7-1,2019-7-1,2019-7-1,2019-7-1,2019-7-1,filing,2019-7-1,2016-9-01,
5th non-regional,2019-7-1,2014-11-01,2019-7-1,2019-7-1,2019-7-1,filing,2019-7-1,2019-7-1,
5th regional,2019-7-1,2014-11-01,2019-7-1,2019-7-1,2019-7-1,filing,2019-7-1,2019-7-1,
1st,2016-7-01,2016-7-01,2015-1-01,2016-7-01,2016-7-01,final,2019-8-1,2016-7-01,2016-7-01
2nd,2017-1-01,2017-1-01,2009-5-02,2017-1-01,2017-1-01,final,2019-8-1,2017-1-01,2017-1-01
3rd,2016-7-01,2016-7-01,2006-1-01,2016-7-01,2016-7-01,final,2019-8-1,2016-7-01,2016-7-01
Other Workers,2016-7-01,2007-11-22,2006-1-01,2016-7-01,2016-7-01,final,2019-8-1,2016-7-01,2016-7-01
4th,2019-8-1,2019-8-1,2019-8-1,2016-7-01,2019-8-1,final,2019-8-1,2016-7-01,2019-8-1
Religious Workers,2019-8-1,2019-8-1,2019-8-1,2016-7-01,2019-8-1,final,2019-8-1,2016-7-01,2019-8-1
5th non-regional,2019-8-1,2014-10-15,2014-10-15,2019-8-1,2019-8-1,final,2019-8-1,2019-8-1,2014-10-15
5th regional,2019-8-1,2014-10-15,2014-10-15,2019-8-1,2019-8-1,final,2019-8-1,2019-8-1,2014-10-15
1st,2018-9-01,2017-10-01,2017-10-01,2018-9-01,2018-9-01,filing,2019-8-1,2018-9-01,
2nd,2019-8-1,2017-2-01,2009-6-01,2019-8-1,2019-8-1,filing,2019-8-1,2019-8-1,
3rd,2019-8-1,2016-6-01,2010-4-01,2019-8-1,2019-8-1,filing,2019-8-1,2019-8-1,
Other Workers,2019-8-1,2008-6-01,2010-4-01,2019-8-1,2019-8-1,filing,2019-8-1,2019-8-1,
4th,2019-8-1,2019-8-1,2019-8-1,2019-8-1,2019-8-1,filing,2019-8-1,2016-9-01,
Religious Workers,2019-8-1,2019-8-1,2019-8-1,2019-8-1,2019-8-1,filing,2019-8-1,2016-9-01,
5th non-regional,2019-8-1,2014-11-15,2019-8-1,2019-8-1,2019-8-1,filing,2019-8-1,2019-8-1,
5th regional,2019-8-1,2014-11-15,2019-8-1,2019-8-1,2019-8-1,filing,2019-8-1,2019-8-1,
1st,2017-10-01,2014-1-01,,2017-10-01,2017-10-01,final,2019-9-1,2017-10-01,2017-10-01
2nd,2018-1-01,2017-1-01,2009-5-08,2018-1-01,2018-1-01,final,2019-9-1,2018-1-01,2018-1-01
3rd,2016-7-01,2014-1-01,2005-7-01,2016-7-01,2016-7-01,final,2019-9-1,2016-7-01,2016-7-01
Other Workers,2016-7-01,2007-11-22,2005-7-01,2016-7-01,2016-7-01,final,2019-9-1,2016-7-01,2016-7-01
4th,,,,,,final,2019-9-1,,
Religious Workers,,,,,,final,2019-9-1,,
5th non-regional,2019-9-1,2014-10-22,2017-9-01,2019-9-1,2019-9-1,final,2019-9-1,2019-9-1,2014-10-22
5th regional,2019-9-1,2014-10-22,2017-9-01,2019-9-1,2019-9-1,final,2019-9-1,2019-9-1,2014-10-22
1st,2018-9-01,2017-10-01,2017-10-01,2018-9-01,2018-9-01,filing,2019-9-1,2018-9-01,
2nd,2019-9-1,2017-6-01,2009-6-01,2019-9-1,2019-9-1,filing,2019-9-1,2019-9-1,
