EBn,ALL,CHINA,INDIA,MEXICO,PHILIPPINES,state,date,CENTRALAMERICA,VIETNAM
3rd,2019-9-1,2016-6-01,2010-4-01,2019-9-1,2019-9-1,filing,2019-9-1,2019-9-1,
Other Workers,2019-9-1,2008-6-01,2010-4-01,2019-9-1,2019-9-1,filing,2019-9-1,2019-9-1,
4th,2019-9-1,2019-9-1,2019-9-1,2019-9-1,2019-9-1,filing,2019-9-1,2016-9-01,
Religious Workers,2019-9-1,2019-9-1,2019-9-1,2019-9-1,2019-9-1,filing,2019-9-1,2016-9-01,
5th non-regional,2019-9-1,2014-11-22,2019-9-1,2019-9-1,2019-9-1,filing,2019-9-1,2019-9-1,
5th regional,2019-9-1,2014-11-22,2019-9-1,2019-9-1,2019-9-1,filing,2019-9-1,2019-9-1,
1st,2018-4-22,2016-11-01,2015-1-01,2018-4-22,2018-4-22,final,2019-10-1,2018-4-22,2018-4-22
2nd,2019-10-1,2015-1-01,2009-5-12,2019-10-1,2019-10-1,final,2019-10-1,2019-10-1,2019-10-1
3rd,2019-10-1,2015-11-01,2009-1-01,2019-10-1,2017-10-15,final,2019-10-1,2019-10-1,2019-10-1
Other Workers,2019-10-1,2008-1-01,2009-1-01,2019-10-1,2017-10-15,final,2019-10-1,2019-10-1,2019-10-1
4th,2019-10-1,2019-10-1,2019-10-1,2017-5-01,2019-10-1,final,2019-10-1,2016-7-01,2019-10-1
Religious Workers,,,,,,final,2019-10-1,,
5th non-regional,2019-10-1,2014-10-22,2017-11-22,2019-10-1,2019-10-1,final,2019-10-1,2019-10-1,2016-10-15
5th regional,,,,,,final,2019-10-1,,
1st,2019-7-01,2017-9-01,2017-3-15,2019-7-01,2019-7-01,filing,2019-10-1,2019-7-01,
2nd,2019-10-1,2016-8-01,2009-7-01,2019-10-1,2019-10-1,filing,2019-10-1,2019-10-1,
3rd,2019-10-1,2017-3-01,2010-2-01,2019-10-1,2019-10-1,filing,2019-10-1,2019-10-1,
Other Workers,2019-10-1,2008-8-01,2010-2-01,2019-10-1,2019-10-1,filing,2019-10-1,2019-10-1,
4th,2019-10-1,2019-10-1,2019-10-1,2019-10-1,2019-10-1,filing,2019-10-1,2016-8-15,
Religious Workers,2019-10-1,2019-10-1,2019-10-1,2019-10-1,2019-10-1,filing,2019-10-1,2016-8-15,
5th non-regional,2019-10-1,2015-1-01,2019-10-1,2019-10-1,2019-10-1,filing,2019-10-1,2019-10-1,
5th regional,2019-10-1,2015-1-01,2019-10-1,2019-10-1,2019-10-1,filing,2019-10-1,2019-10-1,
1st,2018-6-01,2017-2-01,2015-1-01,2018-6-01,2018-6-01,final,2019-11-1,2018-6-01,2018-6-01
2nd,2019-11-1,2015-3-15,2009-5-13,2019-11-1,2019-11-1,final,2019-11-1,2019-11-1,2019-11-1
3rd,2019-11-1,2015-11-01,2009-1-01,2019-11-1,2018-2-01,final,2019-11-1,2019-11-1,2019-11-1
Other Workers,2019-11-1,2008-2-01,2009-1-01,2019-11-1,2018-2-01,final,2019-11-1,2019-11-1,2019-11-1
4th,2019-11-1,2019-11-1,2019-11-1,2017-7-22,2019-11-1,final,2019-11-1,2016-7-01,2019-11-1
Religious Workers,2019-11-1,2019-11-1,2019-11-1,2017-7-22,2019-11-1,final,2019-11-1,2016-7-01,2019-11-1
5th non-regional,2019-11-1,2014-11-01,2017-12-08,2019-11-1,2019-11-1,final,2019-11-1,2019-11-1,2016-11-15
5th regional,2019-11-1,2014-11-01,2017-12-08,2019-11-1,2019-11-1,final,2019-11-1,2019-11-1,2016-11-15
1st,2019-7-01,2017-9-01,2017-3-15,2019-7-01,2019-7-01,filing,2019-11-1,2019-7-01,
2nd,2019-11-1,2016-8-01,2009-7-01,2019-11-1,2019-11-1,filing,2019-11-1,2019-11-1,
3rd,2019-11-1,2017-3-01,2010-2-01,2019-11-1,2019-11-1,filing,2019-11-1,2019-11-1,
Other Workers,2019-11-1,2008-8-01,2010-2-01,2019-11-1,2019-11-1,filing,2019-11-1,2019-11-1,
4th,2019-11-1,2019-11-1,2019-11-1,2019-11-1,2019-11-1,filing,2019-11-1,2016-8-15,
Religious Workers,2019-11-1,2019-11-1,2019-11-1,2019-11-1,2019-11-1,filing,2019-11-1,2016-8-15,
5th non-regional,2019-11-1,2015-1-01,2019-11-1,2019-11-1,2019-11-1,filing,2019-11-1,2019-11-1,
5th regional,2019-11-1,2015-1-01,2019-11-1,2019-11-1,2019-11-1,filing,2019-11-1,2019-11-1,
1st,2018-7-15,2017-5-15,2015-1-01,2018-7-15,2018-7-15,final,2019-12-1,2018-7-15,2018-7-15
2nd,2019-12-1,2015-6-22,2009-5-15,2019-12-1,2019-12-1,final,2019-12-1,2019-12-1,2019-12-1
3rd,2019-12-1,2015-11-01,2009-1-01,2019-12-1,2018-3-01,final,2019-12-1,2019-12-1,2019-12-1
Other Workers,2019-12-1,2008-3-01,2009-1-01,2019-12-1,2018-3-01,final,2019-12-1,2019-12-1,2019-12-1
4th,2019-12-1,2019-12-1,2019-12-1,2017-7-22,2019-12-1,final,2019-12-1,2016-7-01,2019-12-1
Religious Workers,,,,,,final,2019-12-1,,
5th non-regional,2019-12-1,2014-11-15,2018-1-01,2019-12-1,2019-12-1,final,2019-12-1,2019-12-1,2016-12-01
5th regional,,,,,,final,2019-12-1,,
1st,2019-12-1,2017-9-01,2017-3-15,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
2nd,2019-12-1,2016-8-01,2009-7-01,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
3rd,2019-12-1,2017-3-01,2010-2-01,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
Other Workers,2019-12-1,2008-8-01,2010-2-01,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
4th,2019-12-1,2019-12-1,2019-12-1,2019-12-1,2019-12-1,filing,2019-12-1,2016-8-15,
Religious Workers,2019-12-1,2019-12-1,2019-12-1,2019-12-1,2019-12-1,filing,2019-12-1,2016-8-15,
5th non-regional,2019-12-1,2015-5-15,2019-12-1,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
5th regional,2019-12-1,2015-5-15,2019-12-1,2019-12-1,2019-12-1,filing,2019-12-1,2019-12-1,
1st,2018-10-01,2017-5-22,2015-1-01,2018-10-01,2018-10-01,final,2020-1-1,2018-10-01,2018-10-01
2nd,2020-1-1,2015-7-01,2009-5-18,2020-1-1,2020-1-1,final,2020-1-1,2020-1-1,2020-1-1
3rd,2020-1-1,2015-12-01,2009-1-01,2020-1-1,2018-3-15,final,2020-1-1,2020-1-1,2020-1-1
Other Workers,2020-1-1,2008-4-01,2009-1-01,2020-1-1,2018-3-15,final,2020-1-1,2020-1-1,2020-1-1
4th,2020-1-1,2020-1-1,2020-1-1,2017-8-08,2020-1-1,final,2020-1-1,2016-7-01,2020-1-1
Religious Workers,,,,,,final,2020-1-1,,
5th non-regional,2020-1-1,2014-11-22,2018-5-01,2020-1-1,2020-1-1,final,2020-1-1,2020-1-1,2016-12-08
5th regional,,,,,,final,2020-1-1,,
1st,2020-1-1,2017-10-01,2017-3-15,2020-1-1,2020-1-1,filing,2020-1-1,2020-1-1,
2nd,2020-1-1,2016-8-01,2009-7-01,2020-1-1,2020-1-1,filing,2020-1-1,2020-1-1,
3rd,2019-1-01,2017-3-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-1-1,2019-1-01,
Other Workers,2019-1-01,2008-8-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-1-1,2019-1-01,
4th,2020-1-1,2020-1-1,2020-1-1,2020-1-1,2020-1-1,filing,2020-1-1,2016-8-15,
Religious Workers,2020-1-1,2020-1-1,2020-1-1,2020-1-1,2020-1-1,filing,2020-1-1,2016-8-15,
5th non-regional,2020-1-1,2015-5-15,2020-1-1,2020-1-1,2020-1-1,filing,2020-1-1,2020-1-1,
5th regional,2020-1-1,2015-5-15,2020-1-1,2020-1-1,2020-1-1,filing,2020-1-1,2020-1-1,
1st,2018-12-01,2017-5-22,2015-1-01,2018-12-01,2018-12-01,final,2020-2-1,2018-12-01,2018-12-01
2nd,2020-2-1,2015-7-15,2009-5-19,2020-2-1,2020-2-1,final,2020-2-1,2020-2-1,2020-2-1
3rd,2020-2-1,2016-1-01,2009-1-08,2020-2-1,2018-6-01,final,2020-2-1,2020-2-1,2020-2-1
Other Workers,2020-2-1,2008-5-01,2009-1-08,2020-2-1,2018-6-01,final,2020-2-1,2020-2-1,2020-2-1
4th,2020-2-1,2020-2-1,2020-2-1,2017-9-01,2020-2-1,final,2020-2-1,2016-7-01,2020-2-1
Religious Workers,2020-2-1,2020-2-1,2020-2-1,2017-9-01,2020-2-1,final,2020-2-1,2016-7-01,2020-2-1
5th non-regional,2020-2-1,2014-12-01,2018-9-01,2020-2-1,2020-2-1,final,2020-2-1,2020-2-1,2016-12-15
5th regional,2020-2-1,2014-12-01,2018-9-01,2020-2-1,2020-2-1,final,2020-2-1,2020-2-1,2016-12-15
1st,2020-2-1,2017-10-01,2017-3-15,2020-2-1,2020-2-1,filing,2020-2-1,2020-2-1,
2nd,2020-2-1,2016-8-01,2009-7-01,2020-2-1,2020-2-1,filing,2020-2-1,2020-2-1,
3rd,2019-1-01,2017-3-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-2-1,2019-1-01,
Other Workers,2019-1-01,2008-8-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-2-1,2019-1-01,
4th,2020-2-1,2020-2-1,2020-2-1,2020-2-1,2020-2-1,filing,2020-2-1,2016-8-15,
Religious Workers,2020-2-1,2020-2-1,2020-2-1,2020-2-1,2020-2-1,filing,2020-2-1,2016-8-15,
5th non-regional,2020-2-1,2015-5-15,2020-2-1,2020-2-1,2020-2-1,filing,2020-2-1,2020-2-1,
5th regional,2020-2-1,2015-5-15,2020-2-1,2020-2-1,2020-2-1,filing,2020-2-1,2020-2-1,
1st,2019-3-01,2017-6-01,2015-3-01,2019-3-01,2019-3-01,final,2020-3-1,2019-3-01,2019-3-01
2nd,2020-3-1,2015-8-15,2009-5-22,2020-3-1,2020-3-1,final,2020-3-1,2020-3-1,2020-3-1
3rd,2017-1-01,2016-3-22,2009-1-15,2017-1-01,2017-1-01,final,2020-3-1,2017-1-01,2017-1-01
Other Workers,2017-1-01,2008-6-01,2009-1-15,2017-1-01,2017-1-01,final,2020-3-1,2017-1-01,2017-1-01
4th,2020-3-1,2020-3-1,2020-3-1,2017-11-15,2020-3-1,final,2020-3-1,2016-7-15,2020-3-1
Religious Workers,2020-3-1,2020-3-1,2020-3-1,2017-11-15,2020-3-1,final,2020-3-1,2016-7-15,2020-3-1
5th non-regional,2020-3-1,2015-5-15,2018-10-22,2020-3-1,2020-3-1,final,2020-3-1,2020-3-1,2017-1-15
5th regional,2020-3-1,2015-5-15,2018-10-22,2020-3-1,2020-3-1,final,2020-3-1,2020-3-1,2017-1-15
1st,2020-3-1,2017-10-01,2017-3-15,2020-3-1,2020-3-1,filing,2020-3-1,2020-3-1,
2nd,2020-3-1,2016-8-01,2009-7-01,2020-3-1,2020-3-1,filing,2020-3-1,2020-3-1,
3rd,2019-1-01,2017-3-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-3-1,2019-1-01,
Other Workers,2019-1-01,2008-8-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-3-1,2019-1-01,
4th,2020-3-1,2020-3-1,2020-3-1,2020-3-1,2020-3-1,filing,2020-3-1,2016-8-15,
Religious Workers,2020-3-1,2020-3-1,2020-3-1,2020-3-1,2020-3-1,filing,2020-3-1,2016-8-15,
5th non-regional,2020-3-1,2015-12-15,2020-3-1,2020-3-1,2020-3-1,filing,2020-3-1,2020-3-1,
5th regional,2020-3-1,2015-12-15,2020-3-1,2020-3-1,2020-3-1,filing,2020-3-1,2020-3-1,
1st,2019-6-01,2017-6-08,2015-5-01,2019-6-01,2019-6-01,final,2020-4-1,2019-6-01,2019-6-01
2nd,2020-4-1,2015-9-01,2009-5-25,2020-4-1,2020-4-1,final,2020-4-1,2020-4-1,2020-4-1
3rd,2017-1-01,2016-4-15,2009-1-22,2017-1-01,2017-1-01,final,2020-4-1,2017-1-01,2017-1-01
Other Workers,2017-1-01,2008-7-01,2009-1-22,2017-1-01,2017-1-01,final,2020-4-1,2017-1-01,2017-1-01
4th,2020-4-1,2020-4-1,2020-4-1,2018-1-22,2020-4-1,final,2020-4-1,2016-7-15,2020-4-1
Religious Workers,2020-4-1,2020-4-1,2020-4-1,2018-1-22,2020-4-1,final,2020-4-1,2016-7-15,2020-4-1
5th non-regional,2020-4-1,2015-5-15,2019-1-01,2020-4-1,2020-4-1,final,2020-4-1,2020-4-1,2017-2-08
5th regional,2020-4-1,2015-5-15,2019-1-01,2020-4-1,2020-4-1,final,2020-4-1,2020-4-1,2017-2-08
1st,2020-4-1,2017-10-01,2017-3-15,2020-4-1,2020-4-1,filing,2020-4-1,2020-4-1,
2nd,2020-4-1,2016-8-01,2009-7-01,2020-4-1,2020-4-1,filing,2020-4-1,2020-4-1,
3rd,2019-1-01,2017-3-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-4-1,2019-1-01,
Other Workers,2019-1-01,2008-8-01,2010-2-01,2019-1-01,2019-1-01,filing,2020-4-1,2019-1-01,
4th,2020-4-1,2020-4-1,2020-4-1,2020-4-1,2020-4-1,filing,2020-4-1,2016-8-15,
Religious Workers,2020-4-1,2020-4-1,2020-4-1,2020-4-1,2020-4-1,filing,2020-4-1,2016-8-15,
5th non-regional,2020-4-1,2015-12-15,2020-4-1,2020-4-1,2020-4-1,filing,2020-4-1,2020-4-1,
5th regional,2020-4-1,2015-12-15,2020-4-1,2020-4-1,2020-4-1,filing,2020-4-1,2020-4-1,
1st,2020-5-1,2017-7-15,2015-8-01,2020-5-1,2020-5-1,final,2020-5-1,2020-5-1,2020-5-1
2nd,2020-5-1,2015-10-01,2009-6-02,2020-5-1,2020-5-1,final,2020-5-1,2020-5-1,2020-5-1
3rd,2017-1-01,2016-5-15,2009-3-01,2017-1-01,2017-1-01,final,2020-5-1,2017-1-01,2017-1-01
Other Workers,2017-1-01,2008-7-15,2009-3-01,2017-1-01,2017-1-01,final,2020-5-1,2017-1-01,2017-1-01
4th,2020-5-1,2020-5-1,2020-5-1,2018-5-01,2020-5-1,final,2020-5-1,2016-8-15,2020-5-1
Religious Workers,2020-5-1,2020-5-1,2020-5-1,2018-5-01,2020-5-1,final,2020-5-1,2016-8-15,2020-5-1
5th non-regional,2020-5-1,2015-7-01,2019-10-01,2020-5-1,2020-5-1,final,2020-5-1,2020-5-1,2017-4-01
5th regional,2020-5-1,2015-7-01,2019-10-01,2020-5-1,2020-5-1,final,2020-5-1,2020-5-1,2017-4-01
1st,2020-5-1,2017-10-01,2017-3-15,2020-5-1,2020-5-1,filing,2020-5-1,2020-5-1,
2nd,2020-5-1,2016-8-01,2009-7-01,2020-5-1,2020-5-1,filing,2020-5-1,2020-5-1,
3rd,2019-4-01,2017-3-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-5-1,2019-4-01,
Other Workers,2019-4-01,2008-8-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-5-1,2019-4-01,
4th,2020-5-1,2020-5-1,2020-5-1,2020-5-1,2020-5-1,filing,2020-5-1,2016-9-15,
Religious Workers,2020-5-1,2020-5-1,2020-5-1,2020-5-1,2020-5-1,filing,2020-5-1,2016-9-15,
5th non-regional,2020-5-1,2015-12-15,2020-5-1,2020-5-1,2020-5-1,filing,2020-5-1,2020-5-1,
5th regional,2020-5-1,2015-12-15,2020-5-1,2020-5-1,2020-5-1,filing,2020-5-1,2020-5-1,
1st,2020-6-1,2017-8-15,2016-6-08,2020-6-1,2020-6-1,final,2020-6-1,2020-6-1,2020-6-1
2nd,2020-6-1,2015-11-01,2009-6-12,2020-6-1,2020-6-1,final,2020-6-1,2020-6-1,2020-6-1
3rd,2017-11-08,2016-6-15,2009-4-01,2017-11-08,2017-11-08,final,2020-6-1,2017-11-08,2017-11-08
Other Workers,2017-11-08,2008-7-15,2009-4-01,2017-11-08,2017-11-08,final,2020-6-1,2017-11-08,2017-11-08
4th,2020-6-1,2020-6-1,2020-6-1,2018-6-08,2020-6-1,final,2020-6-1,2016-12-15,2020-6-1
Religious Workers,2020-6-1,2020-6-1,2020-6-1,2018-6-08,2020-6-1,final,2020-6-1,2016-12-15,2020-6-1
5th non-regional,2020-6-1,2015-7-15,2020-1-01,2020-6-1,2020-6-1,final,2020-6-1,2020-6-1,2017-4-22
5th regional,2020-6-1,2015-7-15,2020-1-01,2020-6-1,2020-6-1,final,2020-6-1,2020-6-1,2017-4-22
1st,2020-6-1,2017-10-01,2017-3-15,2020-6-1,2020-6-1,filing,2020-6-1,2020-6-1,
2nd,2020-6-1,2016-8-01,2009-7-01,2020-6-1,2020-6-1,filing,2020-6-1,2020-6-1,
3rd,2019-4-01,2017-3-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-6-1,2019-4-01,
Other Workers,2019-4-01,2008-8-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-6-1,2019-4-01,
4th,2020-6-1,2020-6-1,2020-6-1,2020-6-1,2020-6-1,filing,2020-6-1,2017-2-01,
Religious Workers,2020-6-1,2020-6-1,2020-6-1,2020-6-1,2020-6-1,filing,2020-6-1,2017-2-01,
5th non-regional,2020-6-1,2015-12-15,2020-6-1,2020-6-1,2020-6-1,filing,2020-6-1,2020-6-1,
5th regional,2020-6-1,2015-12-15,2020-6-1,2020-6-1,2020-6-1,filing,2020-6-1,2020-6-1,
1st,2020-7-1,2017-8-22,2017-5-08,2020-7-1,2020-7-1,final,2020-7-1,2020-7-1,2020-7-1
2nd,2020-7-1,2015-11-08,2009-7-08,2020-7-1,2020-7-1,final,2020-7-1,2020-7-1,2020-7-1
3rd,2018-4-15,2016-6-22,2009-6-01,2018-4-15,2018-4-15,final,2020-7-1,2018-4-15,2018-4-15
Other Workers,2018-4-15,2008-7-22,2009-6-01,2018-4-15,2018-4-15,final,2020-7-1,2018-4-15,2018-4-15
4th,2020-7-1,2020-7-1,2020-7-1,2018-6-15,2020-7-1,final,2020-7-1,2017-2-01,2020-7-1
Religious Workers,2020-7-1,2020-7-1,2020-7-1,2018-6-15,2020-7-1,final,2020-7-1,2017-2-01,2020-7-1
5th non-regional,2020-7-1,2015-7-22,2020-7-1,2020-7-1,2020-7-1,final,2020-7-1,2020-7-1,2017-5-15
5th regional,2020-7-1,2015-7-22,2020-7-1,2020-7-1,2020-7-1,final,2020-7-1,2020-7-1,2017-5-15
1st,2020-7-1,2017-11-01,2017-8-01,2020-7-1,2020-7-1,filing,2020-7-1,2020-7-1,
2nd,2020-7-1,2016-8-01,2009-8-15,2020-7-1,2020-7-1,filing,2020-7-1,2020-7-1,
3rd,2019-4-01,2017-3-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-7-1,2019-4-01,
Other Workers,2019-4-01,2008-8-01,2010-2-01,2019-4-01,2019-4-01,filing,2020-7-1,2019-4-01,
4th,2020-7-1,2020-7-1,2020-7-1,2020-7-1,2020-7-1,filing,2020-7-1,2017-5-01,
Religious Workers,2020-7-1,2020-7-1,2020-7-1,2020-7-1,2020-7-1,filing,2020-7-1,2017-5-01,
5th non-regional,2020-7-1,2015-12-15,2020-7-1,2020-7-1,2020-7-1,filing,2020-7-1,2020-7-1,
5th regional,2020-7-1,2015-12-15,2020-7-1,2020-7-1,2020-7-1,filing,2020-7-1,2020-7-1,
1st,2020-8-1,2018-2-08,2018-2-08,2020-8-1,2020-8-1,final,2020-8-1,2020-8-1,2020-8-1
2nd,2020-8-1,2016-1-15,2009-7-08,2020-8-1,2020-8-1,final,2020-8-1,2020-8-1,2020-8-1
3rd,2019-4-01,2017-2-15,2009-10-01,2019-4-01,2019-4-01,final,2020-8-1,2019-4-01,2019-4-01
Other Workers,2019-4-01,2008-8-01,2009-10-01,2019-4-01,2019-4-01,final,2020-8-1,2019-4-01,2019-4-01
4th,2020-8-1,2020-8-1,2020-8-1,2018-6-15,2020-8-1,final,2020-8-1,2017-4-01,2020-8-1
Religious Workers,2020-8-1,2020-8-1,2020-8-1,2018-6-15,2020-8-1,final,2020-8-1,2017-4-01,2020-8-1
5th non-regional,2020-8-1,2015-8-08,2020-8-1,2020-8-1,2020-8-1,final,2020-8-1,2020-8-1,2017-7-22
5th regional,2020-8-1,2015-8-08,2020-8-1,2020-8-1,2020-8-1,final,2020-8-1,2020-8-1,2017-7-22
1st,2020-8-1,2018-7-01,2018-7-01,2020-8-1,2020-8-1,filing,2020-8-1,2020-8-1,
2nd,2020-8-1,2016-8-01,2009-8-15,2020-8-1,2020-8-1,filing,2020-8-1,2020-8-1,
3rd,2020-4-01,2017-5-01,2010-2-01,2020-4-01,2020-4-01,filing,2020-8-1,2020-4-01,
Other Workers,2020-4-01,2008-10-01,2010-2-01,2020-4-01,2020-4-01,filing,2020-8-1,2020-4-01,
4th,2020-8-1,2020-8-1,2020-8-1,2020-8-1,2020-8-1,filing,2020-8-1,2017-10-01,
Religious Workers,2020-8-1,2020-8-1,2020-8-1,2020-8-1,2020-8-1,filing,2020-8-1,2017-10-01,
5th non-regional,2020-8-1,2015-12-15,2020-8-1,2020-8-1,2020-8-1,filing,2020-8-1,2020-8-1,
5th regional,2020-8-1,2015-12-15,2020-8-1,2020-8-1,2020-8-1,filing,2020-8-1,2020-8-1,
1st,2020-9-1,2018-3-01,2018-3-01,2020-9-1,2020-9-1,final,2020-9-1,2020-9-1,2020-9-1
2nd,2020-9-1,2016-1-15,2009-7-08,2020-9-1,2020-9-1,final,2020-9-1,2020-9-1,2020-9-1
3rd,2019-4-01,2017-2-15,2009-10-01,2019-4-01,2019-4-01,final,2020-9-1,2019-4-01,2019-4-01
Other Workers,2019-4-01,2008-8-01,2009-10-01,2019-4-01,2019-4-01,final,2020-9-1,2019-4-01,2019-4-01
4th,2020-9-1,2020-9-1,2020-9-1,2018-6-15,2020-9-1,final,2020-9-1,2017-4-01,2020-9-1
Religious Workers,2020-9-1,2020-9-1,2020-9-1,2018-6-15,2020-9-1,final,2020-9-1,2017-4-01,2020-9-1
5th non-regional,2020-9-1,2015-8-15,2020-9-1,2020-9-1,2020-9-1,final,2020-9-1,2020-9-1,2017-8-01
5th regional,2020-9-1,2015-8-15,2020-9-1,2020-9-1,2020-9-1,final,2020-9-1,2020-9-1,2017-8-01
1st,2020-9-1,2018-7-01,2018-7-01,2020-9-1,2020-9-1,filing,2020-9-1,2020-9-1,
2nd,2020-9-1,2016-8-01,2009-8-15,2020-9-1,2020-9-1,filing,2020-9-1,2020-9-1,
3rd,2020-4-01,2017-5-01,2010-2-01,2020-4-01,2020-4-01,filing,2020-9-1,2020-4-01,
Other Workers,2020-4-01,2008-10-01,2010-2-01,2020-4-01,2020-4-01,filing,2020-9-1,2020-4-01,
4th,2020-9-1,2020-9-1,2020-9-1,2020-9-1,2020-9-1,filing,2020-9-1,2017-10-01,
Religious Workers,2020-9-1,2020-9-1,2020-9-1,2020-9-1,2020-9-1,filing,2020-9-1,2017-10-01,
5th non-regional,2020-9-1,2015-12-15,2020-9-1,2020-9-1,2020-9-1,filing,2020-9-1,2020-9-1,
5th regional,2020-9-1,2015-12-15,2020-9-1,2020-9-1,2020-9-1,filing,2020-9-1,2020-9-1,
1st,2020-10-1,2018-6-01,2018-6-01,2020-10-1,2020-10-1,final,2020-10-1,2020-10-1,2020-10-1
2nd,2020-10-1,2016-3-01,2009-9-01,2020-10-1,2020-10-1,final,2020-10-1,2020-10-1,2020-10-1
3rd,2020-10-1,2017-7-01,2010-1-15,2020-10-1,2020-10-1,final,2020-10-1,2020-10-1,2020-10-1
Other Workers,2020-10-1,2008-12-01,2010-1-15,2020-10-1,2020-10-1,final,2020-10-1,2020-10-1,2020-10-1
4th,2020-10-1,2020-10-1,2020-10-1,2018-9-01,2020-10-1,final,2020-10-1,2017-8-01,2020-10-1
Religious Workers,,,,,,final,2020-10-1,,
5th non-regional,2020-10-1,2015-8-15,2020-10-1,2020-10-1,2020-10-1,final,2020-10-1,2020-10-1,2017-8-01
5th regional,,,,,,final,2020-10-1,,
1st,2020-10-1,2020-9-01,2020-9-01,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
2nd,2020-10-1,2016-10-01,2011-5-15,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
3rd,2020-10-1,2018-6-01,2015-1-01,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
Other Workers,2020-10-1,2008-10-01,2015-1-01,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
4th,2020-10-1,2020-10-1,2020-10-1,2020-10-1,2020-10-1,filing,2020-10-1,2018-2-01,
Religious Workers,2020-10-1,2020-10-1,2020-10-1,2020-10-1,2020-10-1,filing,2020-10-1,2018-2-01,
5th non-regional,2020-10-1,2015-12-15,2020-10-1,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
5th regional,2020-10-1,2015-12-15,2020-10-1,2020-10-1,2020-10-1,filing,2020-10-1,2020-10-1,
1st,2020-11-1,2018-12-01,2018-12-01,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2020-11-1
2nd,2020-11-1,2016-4-22,2009-9-22,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2020-11-1
3rd,2020-11-1,2017-10-01,2010-3-01,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2020-11-1
Other Workers,2020-11-1,2009-1-01,2010-3-01,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2020-11-1
4th,2020-11-1,2020-11-1,2020-11-1,2018-10-15,2020-11-1,final,2020-11-1,2017-11-01,2020-11-1
Religious Workers,2020-11-1,2020-11-1,2020-11-1,2018-10-15,2020-11-1,final,2020-11-1,2017-11-01,2020-11-1
5th non-regional,2020-11-1,2015-8-15,2020-11-1,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2017-8-15
5th regional,2020-11-1,2015-8-15,2020-11-1,2020-11-1,2020-11-1,final,2020-11-1,2020-11-1,2017-8-15
1st,2020-11-1,2020-9-01,2020-9-01,2020-11-1,2020-11-1,filing,2020-11-1,2020-11-1,
